Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Pages,Issue,Volume,Series,Publisher,Place,Extra,Manual Tags,Editor
GK3RR5CM,journalArticle,2023,"Park, Keon-Jun; Son, Sung-Yong",Residential Load Forecasting Using Modified Federated Learning Algorithm,IEEE ACCESS,,2169-3536,10.1109/ACCESS.2023.3268530,,"The feasibility of utilizing electricity consumption data is increasing with the widespread use of advanced metering infrastructure among consumers. In addition, the need for consumer demand management and services is likely to increase further as distributed resources are activated. Load forecasting technology is essential for customer demand management. Forecasting technology using deep learning has been applied extensively in recent years. Deep-learning-based load forecasting requires data for training a forecasting model, and the available data may be limited by the Personal Information Protection Act. Federated learning has emerged as a solution to this problem. However, in federated learning, the global model in the central server is trained by aggregating the local model sent from the client without filtration. This may result in the global model overfitting or failure to converge by aggregating the model that is not trained effectively in the client. In this study, we introduce a modified federated learning algorithm to solve this problem and propose a method to forecast residential loads. The proposed method is analyzed and evaluated experimentally using smart meter data. The experimental results reveal that the proposed method improves forecasting performance and convergence. For the global model, when the number of clients was two, three, four, and five, the forecasting performances were 4.891, 5.228, 5.488, and 5.633, respectively, on a mean absolute percentage error (MAPE) basis, showing performance improvements of 28.4%, 10.0%, 16.3%, and 5.8%.",2023,40675-40691,,11,,,,"Place: 445 HOES LANE, PISCATAWAY, NJ 08855-4141 USA Publisher: IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC Type: Article",Residential load forecasting; deep learning; Forecasting; Load forecasting; Load modeling; Predictive models; LSTM; Federated learning; Data models; federated learning; Servers,
ZSM5XWZV,journalArticle,2025,"Cao, Wenzhi; Liu, Houdun; Zhang, Xiangzhi; Zeng, Yangyan; Ling, Xiao",Short-Term Residential Load Forecasting Based on the Fusion of Customer Load Uncertainty Feature Extraction and Meteorological Factors,SUSTAINABILITY,,,10.3390/su17031033,,"With the proliferation of distributed energy resources, advanced metering infrastructure, and advanced communication technologies, the grid is transforming into a flexible, intelligent, and collaborative system. Short-term electric load forecasting for individual residential customers is playing an increasingly important role in the operation and planning of the future grid. Predicting the electrical load of individual households is more challenging with higher uncertainty and volatility at the household level compared to the total electrical load at the feeder and regional levels. The previous research results show that the accuracy of forecasting using machine learning and a single deep learning model is far from adequate and there is still room for improvement.",2025-02,,3,17,,,,"Place: MDPI AG, Grosspeteranlage 5, CH-4052 BASEL, SWITZERLAND Publisher: MDPI Type: Article",residential load forecasting; feature extraction; subsequence partitioning,
N3IATKYK,journalArticle,2024,"Dong, Hanjiang; Zhu, Jizhong; Li, Shenglin; Miao, Yuwang; Chung, Chi Yung; Chen, Ziyu",Probabilistic Residential Load Forecasting with Sequence-to-Sequence Adversarial Domain Adaptation Networks,JOURNAL OF MODERN POWER SYSTEMS AND CLEAN ENERGY,,2196-5625,10.35833/MPCE.2023.000841,,"Lately, the power demand of consumers is increasing in distribution networks, while renewable power generation keeps penetrating into the distribution networks. Insufficient data make it hard to accurately predict the new residential load or newly built apartments with volatile and changing time-series characteristics in terms of frequency and magnitude. Hence, this paper proposes a short-term probabilistic residential load forecasting scheme based on transfer learning and deep learning techniques. First, we formulate the short-term probabilistic residential load forecasting problem. Then, we propose a sequence-to-sequence (Seq2Seq) adversarial domain adaptation network and its joint training strategy to transfer generic features from the source domain (with massive consumption records of regular loads) to the target domain (with limited observations of new residential loads) and simultaneously minimize the domain difference and forecasting errors when solving the forecasting problem. For implementation, the dominant techniques or elements are used as the submodules of the Seq2Seq adversarial domain adaptation network, including the Seq2Seq recurrent neural networks (RNNs) composed of a long short-term memory (LSTM) encoder and an LSTM decoder, and quantile loss. Finally, this study conducts the case studies via multiple evaluation indices, comparative methods of classic machine learning and advanced deep learning, and various available data of the new residentical loads and other regular loads. The experimental results validate the effectiveness and stability of the proposed scheme.",2024-09,1559-1571,5,12,,,,"Place: NO 19 CHENGXIN AVE, JIANGNING DISTRICT, NANJING, 211106, PEOPLES R CHINA Publisher: STATE GRID ELECTRIC POWER RESEARCH INST Type: Article",neural network; residential load forecasting; probabilistic forecasting; Domain adaptation; transfer learning,
AEV3UC7A,journalArticle,2018,"Kong, Weicong; Dong, Zhao Yang; Hill, David J.; Luo, Fengji; Xu, Yan",Short-Term Residential Load Forecasting Based on Resident Behaviour Learning,IEEE TRANSACTIONS ON POWER SYSTEMS,,0885-8950,10.1109/TPWRS.2017.2688178,,"Residential load forecasting has been playing an increasingly important role in modern smart grids. Due to the variability of residents' activities, individual residential loads are usually too volatile to forecast accurately. A long short-term memory-based deep-learning forecasting framework with appliance consumption sequences is proposed to address such volatile problem. It is shown that the forecasting accuracy can be notably improved by including appliance measurements in the training data. The effectiveness of the proposed method is validated through extensive comparison studies on a real-world dataset.",2018-01,1087-1088,1,33,,,,"Place: 445 HOES LANE, PISCATAWAY, NJ 08855-4141 USA Publisher: IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC Type: Article",Deep learning; short-term load forecasting; recurrent neural network; meter-level load forecasting,
NS6JI29R,journalArticle,2025,"Harikrishnan, G. R.; Sreedharan, Sasidharan; Binoy, C. Nikhil",Advanced short-term load forecasting for residential demand response: An XGBoost-ANN ensemble approach,ELECTRIC POWER SYSTEMS RESEARCH,,0378-7796,10.1016/j.epsr.2025.111476,,"Residential demand response is a highly effective and cost-efficient strategy for lowering system demand during peak hours, helping ensure grid stability. Short-term load forecasting for individual consumers offers critical insights into the Smart Grid's functionality and planning. However, demand response and forecasting for residential users are challenging due to the uncertainty of consumer behaviour, requiring novel strategies. This paper proposed a dynamic approach that integrates short-term load forecasting with demand response through a home energy management system, supported by a machine learning-based weighted average ensemble model for the day ahead market. A weighted average ensemble model, such as the XGBoost -ANN Model, is suggested to enhance forecasting accuracy. The forecast results are communicated to the utility, enabling efficient management and analysis of residential energy consumption patterns. Additionally, during peak periods, the utility can send external signals requesting power reduction based on the forecast report to implement demand response strategies. The proposed method also explored various end-user compliance scenarios and considered factors like consumer comfort and home appliances' power consumption to optimise individual energy usage. Experimental results demonstrated a notable shift in residential power consumption during peak hours, leading to more effective market models without compromising consumer preferences and comfort. Compared to baseline models such as SVM, XGBoost, ANN, CNN, and LSTM, the XGBoost-ANN ensemble model achieved a MAPE value of 9.68 % when tested on the same dataset, which is a highly acceptable and promising result for a short-term load forecasting.",2025-05,,,242,,,,"Place: PO BOX 564, 1001 LAUSANNE, SWITZERLAND Publisher: ELSEVIER SCIENCE SA Type: Article",Deep learning; Machine learning; Short-term load forecasting; Demand response; Energy management,
BXNA9QVN,journalArticle,2022,"Aouad, Mosbah; Hajj, Hazem; Shaban, Khaled; Jabr, Rabih A.; El-Hajj, Wassim",A CNN-Sequence-to-Sequence network with attention for residential short-term load forecasting,ELECTRIC POWER SYSTEMS RESEARCH,,0378-7796,10.1016/j.epsr.2022.108152,,"Residential short-term load forecasting has become an essential process to develop successful demand response strategies, and help utilities and customers optimize energy production and consumption. Most previous works focused on capturing the spatial and temporal characteristics of residential load data but fell short in accurately comprehending its variations and dynamics. The challenges come from the high non-linearity and volatility of the electric load data, and their complex spatial and temporal characteristics. To address these challenges, we propose a hybrid deep learning approach consisting of a Convolutional Neural Network and an attention-based Sequence-to-Sequence network. The model aims at capturing the spatial and temporal features from time-series data, the irregular load pattern, and the frequent peak consumption values to improve the overall quality of the forecasts. The proposed model is compared to several state-of-the-art approaches, and the performance is validated on the residential load data for a household in Sceaux, France. The results showed an improvement of 9.6% in the mean square error on different prediction time horizons. The proposed approach produced more accurate real-time forecasts and showed better adaptation at peak consumption instances.",2022-10,,,211,,,,"Place: PO BOX 564, 1001 LAUSANNE, SWITZERLAND Publisher: ELSEVIER SCIENCE SA Type: Article",Deep learning; Residential load forecasting; Attention; Convolutional Neural Network; Long short-term memory,
774PT3XE,journalArticle,2022,"Yang, Wangwang; Shi, Jing; Li, Shujian; Song, Zhaofang; Zhang, Zitong; Chen, Zexu",A combined deep learning load forecasting model of single household resident user considering multi-time scale electricity consumption behavior,APPLIED ENERGY,,0306-2619,10.1016/j.apenergy.2021.118197,,"With the growth of residential load and the popularity of intelligent devices, resident users have become important target customers for demand response (DR). However, due to the strong volatility of individual household load and the large difference in user's behavior, the accuracy of residential load forecasting is generally low and the forecasting effect is unstable, which is not conductive to the implementation of DR. To improve the accuracy of residential load forecasting, this paper proposes a combined deep learning load fore-casting model considering multi-time scale electricity consumption behavior of single household resident user to achieve high-accuracy and stable load forecasting. Aiming at the electricity consumption behavior, the multi -time scale similarity analysis is carried out. For the time scale of one year, Normalized Dynamic Time Warp-ing (N-DTW) and Density-Based Spatial Clustering of Applications with Noise (DBSCAN) are used to analyze the significance of single user's long-term electricity consumption behavior. For the time scale of 7 days, behavior similarity is used to analyze the consistency of single user's short-term electricity consumption behavior. Then, Mutual Information (MI) and Principal Component Analysis (PCA) are used to select features and reduce di-mensions of multi-dimensional weather influencing factors, so as to avoid the interference of irrelevant factors and improve the calculation speed. On this basis, combined with Back Propagation (BP) neural network, Extreme Gradient Boosting (XGBoost) and Long Short-Term Memory (LSTM) neural network, a combined deep learning network load forecasting model (Co-LSTM) is constructed by using multi-model and multi-variable method to achieve stable and high-accuracy load forecasting. Finally, based on the actual load data from the American Pecan Street Energy Project, the forecasting accuracy of the proposed model of resident user is evaluated. From the performance of load forecasting for 42 target users, the minimum, maximum and average Mean Arctangent Absolute Percentage Error (MAAPE) of Co-LSTM is 18.70%, 45.95% and 31.20% (the average MAAPE is 4.97% less than the traditional LSTM model) respectively.",2/1/2022,,,307,,,,"Place: 125 London Wall, London, ENGLAND Publisher: ELSEVIER SCI LTD Type: Article",Back propagation neural network; Combined load forecasting; Electricity consumption behavior analysis; Extreme gradient boosting; Long short -term memory; Mutual information,
R3GA2WL9,journalArticle,2021,"Zang, Haixiang; Xu, Ruiqi; Cheng, Lilin; Ding, Tao; Liu, Ling; Wei, Zhinong; Sun, Guoqiang",Residential load forecasting based on LSTM fusing self-attention mechanism with pooling,ENERGY,,0360-5442,10.1016/j.energy.2021.120682,,"Day-ahead residential load forecasting is crucial for electricity dispatch and demand response in power systems. Electrical loads are characterized by volatility and uncertainty caused by external factors, especially for individual residential loads. With the deployment of advanced metering infrastructure, the acquisition of electricity consumptions of multiple residential customers is available. This paper proposes a novel day-ahead residential load forecasting method based on feature engineering, pooling, and a hybrid deep learning model. Feature engineering is performed using two-stage preprocessing on data from each user, i.e., decomposition and multi-source input dimension reconstruction. Pooling is then adopted to merge data from both the target user and its interconnected users, in a descending order based on mutual information. Finally, a hybrid model with two input channels is developed by combining long short-term memory (LSTM) with self-attention mechanism (SAM). The case studies are conducted on a practical dataset containing multiple residential users. Performance of the proposed load forecasting method using data pools of different groups of users as well as different input forms is compared. The effectiveness of input dimension reconstruction and hybrid model is also validated. The overall results demonstrate the superiority of the proposed load forecasting method through comparison with other benchmark methods. (c) 2021 Elsevier Ltd. All rights reserved.",8/15/2021,,,229,,,,"Place: THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, ENGLAND Publisher: PERGAMON-ELSEVIER SCIENCE LTD Type: Article",Residential load forecasting; Interconnected users; Pooling; Self-attention mechanism,
ZEE43GUK,journalArticle,2024,"Irankhah, Arghavan; Yaghmaee, Mohammad Hossein; Ershadi-Nasab, Sara",Optimized short-term load forecasting in residential buildings based on deep learning methods for different time horizons,JOURNAL OF BUILDING ENGINEERING,,,10.1016/j.jobe.2024.108505,,"The aim of this paper is to develop machine learning based framework to short-term load forecasting with high accuracy for residential building. The purpose is to develop a predictive model that assists energy companies in achieving a balance between energy consumption and generation by effectively managing the energy demand of consumers. The originality of this paper lies in two main parts. First, it analyzes effective relevant features such as time, calendar, and weather using a correlation matrix. Next, an optimized eXtreme gradient boosting model is employed to select key features, reducing the complexity of the training model. The second part proposes an intelligent parallel structure that utilizes gated recurrent units and convolutional neural networks for short-term load forecasting in different resolutions with minimal errors. The precise selection of hyperparameters significantly influences error prediction and accuracy. The metaheuristicsearch-based algorithm, particle swarm optimization, is applied to find the optimal configuration for tunable parallel proposed model hyperparameters. The main results of this study demonstrate that the intelligent predictive model performs better than the latest models discussed in recent literature. The evaluation was conducted on a real-time time series dataset called Mashhad data. The model achieved impressive results in terms of standard metrics such as root mean square error of 44.28, mean absolute error of 29.32, mean absolute percentage error of 3.11 %, and R2 of 0.9229 % for the next 24 h. The benefits of this novel model play a crucial role in accurate short-term load forecasting, as well as in the decision-making and operations of power companies and smart grid.",5/1/2024,,,84,,,,"Place: RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS Publisher: ELSEVIER Type: Article",Deep learning; Short-term load forecasting; Demand -side management; Particle swarm optimization; Time -series analysis,
2X3GP9CI,journalArticle,2021,"Han, Fujia; Pu, Tianjiao; Li, Maozhen; Taylor, Gareth",Short-term forecasting of individual residential load based on deep learning and K-means clustering,CSEE JOURNAL OF POWER AND ENERGY SYSTEMS,,2096-0042,10.17775/CSEEJPES.2020.04060,,"In order to currently motivate a wide range of various interactions between power network operators and electricity customers, residential load forecasting plays an increasingly important role in demand side response (DSR). Due to high volatility and uncertainty of residential load, it is significantly challenging to forecast it precisely. Thus, this paper presents a short-term individual residential load forecasting method based on a combination of deep learning and k-means clustering, which is capable of effectively extracting the similarity of residential load and performing residential load forecasting accurately at the individual level. It first makes full use of k-means clustering to extract similarity among residential load and then employs deep learning to extract complicated patterns of residential load. The presented method is tested and validated on a real-life Irish residential load dataset, and the experimental results suggest that it can achieve a much higher prediction accuracy, in comparison with a published benchmark method.",2021-03,261-269,2,7,,,,"Place: 15, QINGHE XIAOYING DONG LU, HAIDIAN-QU, BEIJING, 100192, PEOPLES R CHINA Publisher: CHINA ELECTRIC POWER RESEARCH INST Type: Article",Deep learning; interactions; residential load forecasting; demand side response (DSR); k-means clustering; similarity,
ZWLGZ48Z,journalArticle,2022,"Fan, Chaodong; Li, Yunfan; Yi, Lingzhi; Xiao, Leyi; Qu, Xilong; Ai, Zhaoyang",Multi-objective LSTM ensemble model for household short-term load forecasting,MEMETIC COMPUTING,,1865-9284,10.1007/s12293-022-00355-y,,"With the development of smart grid, household load forecasting played an important role in power system operations. However, the household load forecasting is often inefficient due to its high volatility and uncertainty. Consequently, a multi-objective LSTM ensemble model based on the DBN combination strategy, is proposed in this paper. This method first builds a deep learning framework based on the LSTM network in order to generate several sub-models. With the diversity and accuracy of the sub-models as the objective functions, the improved MOEA/D algorithm is then used to optimize the parameters, in order to enhance the overall performance of the sub-models and ensure their differences. Finally, a DBN-based combination strategy is used to combine the single forecasts in order to form the ensemble forecast, and reduce the adverse effects of model uncertainty and data noise on the prediction accuracy. The experimental results show that the proposed method has several advantages in prediction accuracy and generalization capacity, compared with several current intelligent prediction methods.",2022-03,115-132,1,14,,,,"Place: TIERGARTENSTRASSE 17, D-69121 HEIDELBERG, GERMANY Publisher: SPRINGER HEIDELBERG Type: Article",Household load forecasting; Short-term load forecasting; Ensemble learning; LSTM network; Multi-objective evolutionary algorithm,
88BLQSFM,journalArticle,2024,"Aurangzeb, Khursheed; Haider, Syed Irtaza; Alhussein, Musaed",Individual household load forecasting using bi-directional LSTM network with time-based embedding,ENERGY REPORTS,,2352-4847,10.1016/j.egyr.2024.03.028,,"Accurate individual household load forecasting is essential for effectively managing energy demand and promoting efficient energy consumption. This study evaluates the performance of various deep learning models for individual household load forecasting, specifically using the Smart Grid Smart City (SGSC) dataset. Feature engineering is conducted, producing two distinct sets of features, and the models' accuracy in predicting individual household loads is assessed using both basic and derived feature sets. The results demonstrate that the T2VBiLSTM model outperforms other models, achieving an average mean absolute percentage error (MAPE) of 74.90% and a root mean square error (RMSE) of 0.433 kW. The incorporation of a wider range of features, including maximum load, minimum load, and load range over time, is emphasized to enhance forecasting accuracy. These features capture long-term load behavior, enabling the models to comprehend complex energy consumption patterns and generate more accurate and reliable predictions. Moreover, limitations in using MAPE as a loss function for load forecasting at the individual customer level are revealed, due to its sensitivity to scale, asymmetry, outliers, and uniform weighting assumption. Alternative loss functions like mean absolute error (MAE) are recommended, as they treat all errors equally and better capture data peaks. While this study focuses on the SGSC dataset, the findings have broader implications for efficiently managing energy demand and promoting energy consumption on a larger scale.",2024-06,3963-3975,,11,,,,"Place: RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS Publisher: ELSEVIER Type: Article",Deep learning; Load forecasting; Feature engineering; Smart grids,
PQ3LG4M9,journalArticle,2021,"Cheng, Lilin; Zang, Haixiang; Xu, Yan; Wei, Zhinong; Sun, Guoqiang",Probabilistic Residential Load Forecasting Based on Micrometeorological Data and Customer Consumption Pattern,IEEE TRANSACTIONS ON POWER SYSTEMS,,0885-8950,10.1109/TPWRS.2021.3051684,,"A prior knowledge of residential load demand is critical for power system operations at the distribution level, such as economic dispatch, demand response and energy storage schedule. However, as residential customers perform more casual and active consumption behaviors, prediction of such highly volatile loads can be much harder. Owing to the development of sensor technology, micrometeorological data can be sampled with a high geographic resolution. Those data that represent the weather condition on the land surface show a strong relationship to the residential load evidently, whereas it remains unsolved on how to fully utilize those great number of datasets. This paper proposes a day-ahead probabilistic residential load forecasting method based on a novel deep learning model, named convolutional neural network with squeeze-and-excitation modules (CNN-SE), and micrometeorological data. The model can employ multi-channel input data with dissimilar weights, suitable for analyzing massive relevant input factors. A feature extraction method is adopted for customer consumption pattern based on sparse auto-encoder (SAE), which can help correct probabilistic forecasting results. A case study that covers 8 residential communities and 18 micrometeorological sites is conducted to validate the feasibility and accuracy of the proposed hybrid method.",2021-07,3762-3775,4,36,,,,"Place: 445 HOES LANE, PISCATAWAY, NJ 08855-4141 USA Publisher: IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC Type: Article",Deep learning; Residential load forecasting; deep learning; Forecasting; Load forecasting; Load modeling; Predictive models; Analytical models; consumption behavior learning; micrometeorological data; Probabilistic logic,
YH37GH6J,journalArticle,2023,"Qu, Xiaodong; Guan, Chengcheng; Xie, Gang; Tian, Zhiyi; Sood, Keshav; Sun, Chaoli; Cui, Lei",Personalized Federated Learning for Heterogeneous Residential Load Forecasting,BIG DATA MINING AND ANALYTICS,,,10.26599/BDMA.2022.9020043,,"Accurate load forecasting is critical for electricity production, transmission, and maintenance. Deep learning (DL) model has replaced other classical models as the most popular prediction models. However, the deep prediction model requires users to provide a large amount of private electricity consumption data, which has potential privacy risks. Edge nodes can federally train a global model through aggregation using federated learning (FL). As a novel distributed machine learning (ML) technique, it only exchanges model parameters without sharing raw data. However, existing forecasting methods based on FL still face challenges from data heterogeneity and privacy disclosure. Accordingly, we propose a user-level load forecasting system based on personalized federated learning (PFL) to address these issues. The obtained personalized model outperforms the global model on local data. Further, we introduce a novel differential privacy (DP) algorithm in the proposed system to provide an additional privacy guarantee. Based on the principle of generative adversarial network (GAN), the algorithm achieves the balance between privacy and prediction accuracy throughout the game. We perform simulation experiments on the real-world dataset and the experimental results show that the proposed system can comply with the requirement for accuracy and privacy in real load forecasting scenarios.",2023-12,421-432,"4, SI",6,,,,"Place: B605D, XUE YAN BUILDING, BEIJING, 100084, PEOPLES R CHINA Publisher: TSINGHUA UNIV PRESS Type: Article",load forecasting; differential privacy; personalized federated learning,
9ELQK3VM,journalArticle,2022,"Sakuma, Yuiko; Nishi, Hiroaki",Hierarchical Multiobjective Distributed Deep Learning for Residential Short-Term Electric Load Forecasting,IEEE ACCESS,,2169-3536,10.1109/ACCESS.2022.3187687,,"Short-term load forecasting plays an essential role in appliance control in households and demand response at the neighborhood or community level. When load forecasting is simultaneously performed at different levels in a smart community, a central method that directly aggregates raw household data may incur a security issue. However, an individual method that builds separate models for each level requires additional data collection. We propose a distributed load forecasting framework that is secure, data efficient, and resource efficient. Our proposed method shares the latent variables, the reduced expression of the input data, of the household models without revealing the raw data. The latent variables are aggregated and fed to the neighborhood model, and during inference, input data collection can be abbreviated in the neighborhood. Because household models provide informative latent variables, the number of model parameters for the neighborhood model can be reduced. Our proposed method is evaluated using real electricity consumption data for six different models under 24 h and 1 h ahead forecasting. Our proposed method with the long short-term memory, multi-layer perceptron, and convolution neural network-based models presents the degradation in average mean absolute percentage error 3.68% and 5.16% at most for household and neighborhood forecasting, respectively, compared to the individual method. At the same time, it reduces the neighborhood's model size by approximately 53%.",2022,69950-69962,,10,,,,"Place: 445 HOES LANE, PISCATAWAY, NJ 08855-4141 USA Publisher: IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC Type: Article",Forecasting; Load forecasting; Load modeling; Predictive models; Data models; Servers; Demand forecasting; distributed collaborative learning; federated learning (FL); multi-task learning; Recurrent neural networks; recurrent neural networks (RNN); smart community; split learning (SL),
HV9IZZPN,journalArticle,2019,"Imani, Maryam; Ghassemian, Hassan",Residential load forecasting using wavelet and collaborative representation transforms,APPLIED ENERGY,,0306-2619,10.1016/j.apenergy.2019.113505,,"Short-term household-level load forecasting requires to acquire knowledge about lifestyle and consumption patterns of residents. A new forecasting framework is proposed in this work which uses the extra appliance measurements in meter-level for short-term electrical load forecasting. The long short-term memory network as a deep learning method is used as a predictor where useful features are fed to it for forecast learning. A lagged load variable vector is assigned to each point of the load curve. To remove redundant details and to use the approximate component of the feature vector, the wavelet decomposition is applied to it. In addition, a new version of collaborative representation is introduced and used to achieve information of the neighboring points (previous and future time instances) of the considered load point. Collaborative representation of the feature vector associated with each load point contains valuable local information about adjacent load points. The load features extracted from the lagged load variable vector provide superior forecasting performance especially with extra appliances load data.",11/1/2019,,,253,,,,"Place: 125 London Wall, London, ENGLAND Publisher: ELSEVIER SCI LTD Type: Article",Load forecasting; Long short-term memory; Collaborative representation; Wavelet transform,
EQDRM45I,journalArticle,2024,"Chen, Yuyao; Obrecht, Christian; Kuznik, Frederic",Enhancing peak prediction in residential load forecasting with soft dynamic time wrapping loss functions,INTEGRATED COMPUTER-AIDED ENGINEERING,,1069-2509,10.3233/ICA-230731,,"Short-term residential load forecasting plays a crucial role in smart grids, ensuring an optimal match between energy demands and generation. With the inherent volatility of residential load patterns, deep learning has gained attention due to its ability to capture complex nonlinear relationships within hidden layers. However, most existing studies have relied on default loss functions such as mean squared error (MSE) or mean absolute error (MAE) for neural networks. These loss functions, while effective in overall prediction accuracy, lack specialized focus on accurately predicting load peaks. This article presents a comparative analysis of soft-DTW loss function, a smoothed formulation of Dynamic Time Wrapping (DTW), compared to other commonly used loss functions, in order to assess its effectiveness in improving peak prediction accuracy. To evaluate peak performance, we introduce a novel evaluation methodology using confusion matrix and propose new errors for peak position and peak load, tailored specifically for assessing peak performance in short-term load forecasting. Our results demonstrate the superiority of soft-DTW in capturing and predicting load peaks, surpassing other commonly used loss functions. Furthermore, the combination of soft-DTW with other loss functions, such as soft-DTW + MSE, soft-DTW + MAE, and soft-DTW + TDI (Time Distortion Index), also enhances peak prediction. However, the differences between these combined soft-DTW loss functions are not substantial. These findings highlight the significance of utilizing specialized loss functions, like soft-DTW, to improve peak prediction accuracy in short-term load forecasting.",2024,327-340,3,31,,,,"Place: 2455 ?LER RD, THOUSAND OAKS, CA 91320 USA Publisher: SAGE PUBLICATIONS INC Type: Article",deep learning; Short-term load forecasting; dynamic time wrapping; loss function; peak prediction; soft-DTW,
C4GZUDX4,journalArticle,2021,"Truong, Le Hoai My; Chow, Ka Ho Karl; Luevisadpaibul, Rungsimun; Thirunavukkarasu, Gokul Sidarth; Seyedmahmoudian, Mehdi; Horan, Ben; Mekhilef, Saad; Stojcevski, Alex",Accurate Prediction of Hourly Energy Consumption in a Residential Building Based on the Occupancy Rate Using Machine Learning Approaches,APPLIED SCIENCES-BASEL,,,10.3390/app11052229,,"In this paper, a novel deep neural network-based energy prediction algorithm for accurately forecasting the day-ahead hourly energy consumption profile of a residential building considering occupancy rate is proposed. Accurate estimation of residential load profiles helps energy providers and utility companies develop an optimal generation schedule to address the demand. Initially, a comprehensive multi-criteria analysis of different machine learning approaches used in energy consumption predictions was carried out. Later, a predictive micro-grid model was formulated to synthetically generate the stochastic load profiles considering occupancy rate as the critical input. Finally, the synthetically generated data were used to train the proposed eight-layer deep neural network-based model and evaluated using root mean square error and coefficient of determination as metrics. Observations from the results indicated that the proposed energy prediction algorithm yielded a coefficient of determination of 97.5% and a significantly low root mean square error of 111 Watts, thereby outperforming the other baseline approaches, such as extreme gradient boost, multiple linear regression, and simple/shallow artificial neural network.",2021-03,,5,11,,,,"Place: ST ALBAN-ANLAGE 66, CH-4052 BASEL, SWITZERLAND Publisher: MDPI Type: Article",load forecasting; deep learning; energy management systems; machine learning and microgrids,
T89U663N,journalArticle,2021,"Yousaf, Adnan; Asif, Rao Muhammad; Shakir, Mustafa; Rehman, Ateeq Ur; S. Adrees, Mohmmed",An Improved Residential Electricity Load Forecasting Using a Machine-Learning-Based Feature Selection Approach and a Proposed Integration Strategy,SUSTAINABILITY,,,10.3390/su13116199,,"Load forecasting (LF) has become the main concern in decentralized power generation systems with the smart grid revolution in the 21st century. As an intriguing research topic, it facilitates generation systems by providing essential information for load scheduling, demand-side integration, and energy market pricing and reducing cost. An intelligent LF model of residential loads using a novel machine learning (ML)-based approach, achieved by assembling an integration strategy model in a smart grid context, is proposed. The proposed model improves the LF by optimizing the mean absolute percentage error (MAPE). The time-series-based autoregression schemes were carried out to collect historical data and set the objective functions of the proposed model. An algorithm consisting of seven different autoregression models was also developed and validated through a feedforward adaptive-network-based fuzzy inference system (ANFIS) model, based on the ML approach. Moreover, a binary genetic algorithm (BGA) was deployed for the best feature selection, and the best fitness score of the features was obtained with principal component analysis (PCA). A unique decision integration strategy is presented that led to a remarkably improved transformation in reducing MAPE. The model was tested using a one-year Pakistan Residential Electricity Consumption (PRECON) dataset, and the attained results verify that the proposed model obtained the best feature selection and achieved very promising values of MAPE of 1.70%, 1.77%, 1.80%, and 1.67% for summer, fall, winter, and spring seasons, respectively. The overall improvement percentage is 17%, which represents a substantial increase for small-scale decentralized generation units.",2021-06,,11,13,,,,"Place: ST ALBAN-ANLAGE 66, CH-4052 BASEL, SWITZERLAND Publisher: MDPI Type: Article",load forecasting; binary genetic algorithm; mean absolute percentage error; principal component analysis,
NYQ3IWCT,journalArticle,2022,"Shi, Jiarong; Wang, Zhiteng",A Hybrid Forecast Model for Household Electric Power by Fusing Landmark-Based Spectral Clustering and Deep Learning,SUSTAINABILITY,,,10.3390/su14159255,,"Household power load forecasting plays an important role in the operation and planning of power grids. To address the prediction issue of household power consumption in power grids, this paper chooses a time series of historical power consumption as the feature variables and uses landmark-based spectral clustering (LSC) and a deep learning model to cluster and predict the power consumption dataset, respectively. Firstly, the investigated data are reshaped into a matrix and all missing entries are recovered by matrix completion. Secondly, the data samples are divided into three clusters by the LSC method according to the periodicity and regularity of power consumption. Then, all samples in each cluster are expanded via bootstrap aggregating technique. Subsequently, a combination of a convolutional neural network (CNN) and a long short-term memory (LSTM) is employed to predict power consumption. The goal of CNN is to extract the features from input data in sequence learning, and LSTM aims to train and predict the power consumption. Finally, the forecasting performance of the LSC-CNN-LSTM is compared with several other deep learning models to verify its reliability and effectiveness in the field of household power load. The experimental results show that the proposed hybrid method is superior to other state-of-the-art deep learning techniques in forecasting performance.",2022-08,,15,14,,,,"Place: MDPI AG, Grosspeteranlage 5, CH-4052 BASEL, SWITZERLAND Publisher: MDPI Type: Article",deep learning; long short-term memory; convolutional neural network; household power load forecasting; landmark-based spectral clustering; matrix completion,
